"index","date","power_consumption","year","semester","quarter","day_in_week","week_in_year","day_in_year","month"
"185","6/18/2007","678.474","2007","1","2","Mon","25","169","6"
"186","6/19/2007","842.36","2007","1","2","Tue","25","170","6"
"187","6/20/2007","1074.286","2007","1","2","Wed","25","171","6"
"188","6/21/2007","806.946","2007","1","2","Thu","25","172","6"
"189","6/22/2007","566.294","2007","1","2","Fri","25","173","6"
"190","6/23/2007","477.566","2007","1","2","Sat","25","174","6"
"191","6/24/2007","714.656","2007","1","2","Sun","25","175","6"
"192","6/25/2007","1072.202","2007","1","2","Mon","26","176","6"
"193","6/26/2007","944.908","2007","1","2","Tue","26","177","6"
"194","6/27/2007","1480.826","2007","1","2","Wed","26","178","6"
"195","6/28/2007","1295.438","2007","1","2","Thu","26","179","6"
"196","6/29/2007","1304.198","2007","1","2","Fri","26","180","6"
"197","6/30/2007","1335.314","2007","1","2","Sat","26","181","6"
"198","7/1/2007","1026.664","2007","2","3","Sun","26","182","7"
"199","7/2/2007","967.032","2007","2","3","Mon","27","183","7"
"200","7/3/2007","1059.912","2007","2","3","Tue","27","184","7"
"201","7/4/2007","1003.41","2007","2","3","Wed","27","185","7"
"202","7/5/2007","1057.29","2007","2","3","Thu","27","186","7"
"203","7/6/2007","1069.524","2007","2","3","Fri","27","187","7"
"204","7/7/2007","1358.206","2007","2","3","Sat","27","188","7"
"205","7/8/2007","1089.08","2007","2","3","Sun","27","189","7"
"206","7/9/2007","1180.158","2007","2","3","Mon","28","190","7"
"207","7/10/2007","908.324","2007","2","3","Tue","28","191","7"
"208","7/11/2007","722.352","2007","2","3","Wed","28","192","7"
"209","7/12/2007","1069.582","2007","2","3","Thu","28","193","7"
"210","7/13/2007","794.382","2007","2","3","Fri","28","194","7"
"211","7/14/2007","1288.17","2007","2","3","Sat","28","195","7"
"212","7/15/2007","917.024","2007","2","3","Sun","28","196","7"
"213","7/16/2007","853.674","2007","2","3","Mon","29","197","7"
"214","7/17/2007","719.632","2007","2","3","Tue","29","198","7"
"215","7/18/2007","757.082","2007","2","3","Wed","29","199","7"
"216","7/19/2007","677.886","2007","2","3","Thu","29","200","7"
"217","7/20/2007","1110.422","2007","2","3","Fri","29","201","7"
"218","7/21/2007","1060.248","2007","2","3","Sat","29","202","7"
"219","7/22/2007","1375.774","2007","2","3","Sun","29","203","7"
"220","7/23/2007","991.018","2007","2","3","Mon","30","204","7"
"221","7/24/2007","825.284","2007","2","3","Tue","30","205","7"
"222","7/25/2007","472.56","2007","2","3","Wed","30","206","7"
"223","7/26/2007","924.5","2007","2","3","Thu","30","207","7"
"224","7/27/2007","1202.514","2007","2","3","Fri","30","208","7"
"225","7/28/2007","1621.862","2007","2","3","Sat","30","209","7"
"226","7/29/2007","321.116","2007","2","3","Sun","30","210","7"
"227","7/30/2007","466.816","2007","2","3","Mon","31","211","7"
"228","7/31/2007","812.332","2007","2","3","Tue","31","212","7"
"229","8/1/2007","1060.338","2007","2","3","Wed","31","213","8"
"230","8/2/2007","1019.416","2007","2","3","Thu","31","214","8"
"231","8/3/2007","1063.364","2007","2","3","Fri","31","215","8"
"232","8/4/2007","1144.99","2007","2","3","Sat","31","216","8"
"233","8/5/2007","787.098","2007","2","3","Sun","31","217","8"
"234","8/6/2007","1089.72","2007","2","3","Mon","32","218","8"
"235","8/7/2007","1483.58","2007","2","3","Tue","32","219","8"
"236","8/8/2007","1125.482","2007","2","3","Wed","32","220","8"
"237","8/9/2007","1071.68","2007","2","3","Thu","32","221","8"
"238","8/10/2007","1028.01","2007","2","3","Fri","32","222","8"
"239","8/11/2007","1091.65","2007","2","3","Sat","32","223","8"
"240","8/12/2007","1241.904","2007","2","3","Sun","32","224","8"
"241","8/13/2007","1153.012","2007","2","3","Mon","33","225","8"
"242","8/14/2007","941.19","2007","2","3","Tue","33","226","8"
"243","8/15/2007","1191.86","2007","2","3","Wed","33","227","8"
"244","8/16/2007","958.496","2007","2","3","Thu","33","228","8"
"245","8/17/2007","1009.892","2007","2","3","Fri","33","229","8"
"246","8/18/2007","347.96","2007","2","3","Sat","33","230","8"
"247","8/19/2007","1422.294","2007","2","3","Sun","33","231","8"
"248","8/20/2007","1338.842","2007","2","3","Mon","34","232","8"
"249","8/21/2007","642.556","2007","2","3","Tue","34","233","8"
"250","8/22/2007","1209.808","2007","2","3","Wed","34","234","8"
"251","8/23/2007","1112.312","2007","2","3","Thu","34","235","8"
"252","8/24/2007","1656.214","2007","2","3","Fri","34","236","8"
"253","8/25/2007","1150.88","2007","2","3","Sat","34","237","8"
"254","8/26/2007","1314.906","2007","2","3","Sun","34","238","8"
"255","8/27/2007","1211.73","2007","2","3","Mon","35","239","8"
"256","8/28/2007","997.004","2007","2","3","Tue","35","240","8"
"257","8/29/2007","747.992","2007","2","3","Wed","35","241","8"
"258","8/30/2007","1202.458","2007","2","3","Thu","35","242","8"
"259","8/31/2007","1279.822","2007","2","3","Fri","35","243","8"
"260","9/1/2007","1701.486","2007","2","3","Sat","35","244","9"
"261","9/2/2007","1662.468","2007","2","3","Sun","35","245","9"
"262","9/3/2007","1038.922","2007","2","3","Mon","36","246","9"
"263","9/4/2007","1584.944","2007","2","3","Tue","36","247","9"
"264","9/5/2007","1236.572","2007","2","3","Wed","36","248","9"
"265","9/6/2007","901.474","2007","2","3","Thu","36","249","9"
"266","9/7/2007","1336.496","2007","2","3","Fri","36","250","9"
"267","9/8/2007","1469.752","2007","2","3","Sat","36","251","9"
"268","9/9/2007","1679.502","2007","2","3","Sun","36","252","9"
"269","9/10/2007","1117.376","2007","2","3","Mon","37","253","9"
"270","9/11/2007","983.572","2007","2","3","Tue","37","254","9"
"271","9/12/2007","1287.764","2007","2","3","Wed","37","255","9"
"272","9/13/2007","1146.382","2007","2","3","Thu","37","256","9"
"273","9/14/2007","1135.47","2007","2","3","Fri","37","257","9"
"274","9/15/2007","1095.312","2007","2","3","Sat","37","258","9"
"275","9/16/2007","1652.224","2007","2","3","Sun","37","259","9"
"276","9/17/2007","1461.186","2007","2","3","Mon","38","260","9"
"277","9/18/2007","1167.52","2007","2","3","Tue","38","261","9"
"278","9/19/2007","1298.684","2007","2","3","Wed","38","262","9"
"279","9/20/2007","1255.532","2007","2","3","Thu","38","263","9"
"280","9/21/2007","1238.78","2007","2","3","Fri","38","264","9"
"281","9/22/2007","1176.172","2007","2","3","Sat","38","265","9"
"282","9/23/2007","1417.97","2007","2","3","Sun","38","266","9"
"283","9/24/2007","1354.53","2007","2","3","Mon","39","267","9"
"284","9/25/2007","1764.342","2007","2","3","Tue","39","268","9"
"285","9/26/2007","1822.264","2007","2","3","Wed","39","269","9"
"286","9/27/2007","1392.6","2007","2","3","Thu","39","270","9"
"287","9/28/2007","1680.498","2007","2","3","Fri","39","271","9"
"288","9/29/2007","2296.522","2007","2","3","Sat","39","272","9"
"289","9/30/2007","1516.29","2007","2","3","Sun","39","273","9"
"290","10/1/2007","1720.922","2007","2","4","Mon","40","274","10"
"291","10/2/2007","2198.864","2007","2","4","Tue","40","275","10"
"292","10/3/2007","1280.454","2007","2","4","Wed","40","276","10"
"293","10/4/2007","1518.458","2007","2","4","Thu","40","277","10"
"294","10/5/2007","1394.092","2007","2","4","Fri","40","278","10"
"295","10/6/2007","1756.24","2007","2","4","Sat","40","279","10"
"296","10/7/2007","2106.114","2007","2","4","Sun","40","280","10"
"297","10/8/2007","1095.242","2007","2","4","Mon","41","281","10"
"298","10/9/2007","1687.858","2007","2","4","Tue","41","282","10"
"299","10/10/2007","1166.972","2007","2","4","Wed","41","283","10"
"300","10/11/2007","1732.446","2007","2","4","Thu","41","284","10"
"301","10/12/2007","1914.504","2007","2","4","Fri","41","285","10"
"302","10/13/2007","1926.728","2007","2","4","Sat","41","286","10"
"303","10/14/2007","2061.252","2007","2","4","Sun","41","287","10"
"304","10/15/2007","1266.33","2007","2","4","Mon","42","288","10"
"305","10/16/2007","1964.442","2007","2","4","Tue","42","289","10"
"306","10/17/2007","1576.93","2007","2","4","Wed","42","290","10"
"307","10/18/2007","1518.53","2007","2","4","Thu","42","291","10"
"308","10/19/2007","2085.648","2007","2","4","Fri","42","292","10"
"309","10/20/2007","1660.246","2007","2","4","Sat","42","293","10"
"310","10/21/2007","1941.94","2007","2","4","Sun","42","294","10"
"311","10/22/2007","1652.896","2007","2","4","Mon","43","295","10"
"312","10/23/2007","1954.648","2007","2","4","Tue","43","296","10"
"313","10/24/2007","1865.636","2007","2","4","Wed","43","297","10"
"314","10/25/2007","1853.918","2007","2","4","Thu","43","298","10"
"315","10/26/2007","1437.568","2007","2","4","Fri","43","299","10"
"316","10/27/2007","1785.688","2007","2","4","Sat","43","300","10"
"317","10/28/2007","512.158","2007","2","4","Sun","43","301","10"
"318","10/29/2007","545.428","2007","2","4","Mon","44","302","10"
"319","10/30/2007","811.008","2007","2","4","Tue","44","303","10"
"320","10/31/2007","1283.21","2007","2","4","Wed","44","304","10"
"321","11/1/2007","496.216","2007","2","4","Thu","44","305","11"
"322","11/2/2007","1443.602","2007","2","4","Fri","44","306","11"
"323","11/3/2007","492.55","2007","2","4","Sat","44","307","11"
"324","11/4/2007","1485.686","2007","2","4","Sun","44","308","11"
"325","11/5/2007","1500.592","2007","2","4","Mon","45","309","11"
"326","11/6/2007","2082.378","2007","2","4","Tue","45","310","11"
"327","11/7/2007","1844.758","2007","2","4","Wed","45","311","11"
"328","11/8/2007","1501.06","2007","2","4","Thu","45","312","11"
"329","11/9/2007","2171.226","2007","2","4","Fri","45","313","11"
"330","11/10/2007","2611.6","2007","2","4","Sat","45","314","11"
"331","11/11/2007","1887.124","2007","2","4","Sun","45","315","11"
"332","11/12/2007","2156.146","2007","2","4","Mon","46","316","11"
"333","11/13/2007","2214.398","2007","2","4","Tue","46","317","11"
"334","11/14/2007","2047.994","2007","2","4","Wed","46","318","11"
"335","11/15/2007","1491.988","2007","2","4","Thu","46","319","11"
"336","11/16/2007","2309.754","2007","2","4","Fri","46","320","11"
"337","11/17/2007","2610.094","2007","2","4","Sat","46","321","11"
"338","11/18/2007","2183.858","2007","2","4","Sun","46","322","11"
"339","11/19/2007","1723.654","2007","2","4","Mon","47","323","11"
"340","11/20/2007","2095.856","2007","2","4","Tue","47","324","11"
"341","11/21/2007","1751.836","2007","2","4","Wed","47","325","11"
"342","11/22/2007","1932.378","2007","2","4","Thu","47","326","11"
"343","11/23/2007","2522.618","2007","2","4","Fri","47","327","11"
"344","11/24/2007","1899.054","2007","2","4","Sat","47","328","11"
"345","11/25/2007","1395.598","2007","2","4","Sun","47","329","11"
"346","11/26/2007","1569.716","2007","2","4","Mon","48","330","11"
"347","11/27/2007","2801.012","2007","2","4","Tue","48","331","11"
"348","11/28/2007","1644.94","2007","2","4","Wed","48","332","11"
"349","11/29/2007","1719.23","2007","2","4","Thu","48","333","11"
"350","11/30/2007","2331.728","2007","2","4","Fri","48","334","11"
"351","12/1/2007","3134.942","2007","2","4","Sat","48","335","12"
"352","12/2/2007","2946.188","2007","2","4","Sun","48","336","12"
"353","12/3/2007","1762.06","2007","2","4","Mon","49","337","12"
"354","12/4/2007","2067.636","2007","2","4","Tue","49","338","12"
"355","12/5/2007","2153.12","2007","2","4","Wed","49","339","12"
"356","12/6/2007","2487.934","2007","2","4","Thu","49","340","12"
"357","12/7/2007","1769.016","2007","2","4","Fri","49","341","12"
"358","12/8/2007","2213.404","2007","2","4","Sat","49","342","12"
"359","12/9/2007","2274.584","2007","2","4","Sun","49","343","12"
"360","12/10/2007","1758.754","2007","2","4","Mon","50","344","12"
"361","12/11/2007","2305.104","2007","2","4","Tue","50","345","12"
"362","12/12/2007","1588.062","2007","2","4","Wed","50","346","12"
"363","12/13/2007","1847.746","2007","2","4","Thu","50","347","12"
"364","12/14/2007","1974.808","2007","2","4","Fri","50","348","12"
"365","12/15/2007","2736.876","2007","2","4","Sat","50","349","12"
"366","12/16/2007","2762.218","2007","2","4","Sun","50","350","12"
"367","12/17/2007","1797.066","2007","2","4","Mon","51","351","12"
"368","12/18/2007","2623.194","2007","2","4","Tue","51","352","12"
"369","12/19/2007","2196.052","2007","2","4","Wed","51","353","12"
"370","12/20/2007","1949.758","2007","2","4","Thu","51","354","12"
"371","12/21/2007","1982.576","2007","2","4","Fri","51","355","12"
"372","12/22/2007","2611.264","2007","2","4","Sat","51","356","12"
"373","12/23/2007","2409.048","2007","2","4","Sun","51","357","12"
"374","12/24/2007","2257.848","2007","2","4","Mon","52","358","12"
"375","12/25/2007","2694.968","2007","2","4","Tue","52","359","12"
"376","12/26/2007","2580.28","2007","2","4","Wed","52","360","12"
"377","12/27/2007","2532.198","2007","2","4","Thu","52","361","12"
"378","12/28/2007","3113.052","2007","2","4","Fri","52","362","12"
"379","12/29/2007","3298.956","2007","2","4","Sat","52","363","12"
"380","12/30/2007","2558.916","2007","2","4","Sun","52","364","12"
"381","12/31/2007","2216.542","2007","2","4","Mon","53","365","12"
"382","1/1/2008","2759.738","2008","1","1","Tue","1","1","1"
"383","1/2/2008","1644.106","2008","1","1","Wed","1","2","1"
"384","1/3/2008","1510.108","2008","1","1","Thu","1","3","1"
"385","1/4/2008","2291.852","2008","1","1","Fri","1","4","1"
"386","1/5/2008","2183.248","2008","1","1","Sat","1","5","1"
"387","1/6/2008","1825.184","2008","1","1","Sun","1","6","1"
"388","1/7/2008","1695.814","2008","1","1","Mon","1","7","1"
"389","1/8/2008","2043.55","2008","1","1","Tue","2","8","1"
"390","1/9/2008","1788.44","2008","1","1","Wed","2","9","1"
"391","1/10/2008","1894.076","2008","1","1","Thu","2","10","1"
"392","1/11/2008","1705.818","2008","1","1","Fri","2","11","1"
"393","1/12/2008","2871.408","2008","1","1","Sat","2","12","1"
"394","1/13/2008","2881.656","2008","1","1","Sun","2","13","1"
"395","1/14/2008","2024.932","2008","1","1","Mon","2","14","1"
"396","1/15/2008","2686.912","2008","1","1","Tue","3","15","1"
"397","1/16/2008","2135.852","2008","1","1","Wed","3","16","1"
"398","1/17/2008","1572.282","2008","1","1","Thu","3","17","1"
"399","1/18/2008","2186.988","2008","1","1","Fri","3","18","1"
"400","1/19/2008","1980.306","2008","1","1","Sat","3","19","1"
"401","1/20/2008","1740.368","2008","1","1","Sun","3","20","1"
"402","1/21/2008","1858.998","2008","1","1","Mon","3","21","1"
"403","1/22/2008","2325.018","2008","1","1","Tue","4","22","1"
"404","1/23/2008","1882.308","2008","1","1","Wed","4","23","1"
"405","1/24/2008","1645.022","2008","1","1","Thu","4","24","1"
"406","1/25/2008","2239.856","2008","1","1","Fri","4","25","1"
"407","1/26/2008","2834.988","2008","1","1","Sat","4","26","1"
"408","1/27/2008","2381.766","2008","1","1","Sun","4","27","1"
"409","1/28/2008","2308.196","2008","1","1","Mon","4","28","1"
"410","1/29/2008","2676.024","2008","1","1","Tue","5","29","1"
"411","1/30/2008","1640.646","2008","1","1","Wed","5","30","1"
"412","1/31/2008","1953.922","2008","1","1","Thu","5","31","1"
"413","2/1/2008","1534.652","2008","1","1","Fri","5","32","2"
"414","2/2/2008","2936.034","2008","1","1","Sat","5","33","2"
"415","2/3/2008","2084.568","2008","1","1","Sun","5","34","2"
"416","2/4/2008","1628.138","2008","1","1","Mon","5","35","2"
"417","2/5/2008","2472.456","2008","1","1","Tue","6","36","2"
"418","2/6/2008","1669.54","2008","1","1","Wed","6","37","2"
"419","2/7/2008","1518.31","2008","1","1","Thu","6","38","2"
"420","2/8/2008","1950.564","2008","1","1","Fri","6","39","2"
"421","2/9/2008","2102.276","2008","1","1","Sat","6","40","2"
"422","2/10/2008","2184.714","2008","1","1","Sun","6","41","2"
"423","2/11/2008","1692.016","2008","1","1","Mon","6","42","2"
